,year,name,gCNN_d18o
567,2000,brie_sel,22.556
568,2000,brie_elt,22.771
569,2000,jenkins,23.038
570,2000,ball_m,23.038
571,2000,ortega_jam,23.566
572,2000,rodcat_utu,25.018
573,2000,rodcat_gua,28.715
574,2000,rodcat_irr,30.199
575,2000,rodcat_fsa,26.746
576,2001,baker_ecu,23.565
577,2001,brie_sel,22.556
578,2001,brie_elt,22.771
579,2001,jenkins,23.038
580,2001,ball_m,23.038
581,2001,ortega_jam,23.566
582,2001,rodcat_utu,25.018
583,2001,rodcat_gua,28.715
584,2001,rodcat_irr,30.199
585,2001,rodcat_fsa,26.746
586,2002,baker_ecu,23.565
587,2002,brie_sel,22.556
588,2002,brie_elt,22.771
589,2002,jenkins,23.038
590,2002,ball_m,23.038
591,2002,ortega_jam,23.566
592,2002,rodcat_utu,25.018
593,2002,rodcat_gua,28.715
594,2002,rodcat_irr,30.199
595,2002,rodcat_fsa,26.746
596,2003,baker_ecu,23.565
597,2003,brie_sel,22.556
598,2003,brie_elt,22.771
599,2003,jenkins,23.038
600,2003,ball_m,23.038
601,2003,ortega_jam,23.566
602,2003,rodcat_utu,25.018
603,2003,rodcat_gua,28.715
604,2003,rodcat_irr,30.199
605,2003,rodcat_fsa,26.746
606,2004,baker_ecu,23.565
607,2004,brie_sel,22.556
608,2004,brie_elt,22.771
609,2004,jenkins,23.038
610,2004,ball_m,23.038
611,2004,ortega_jam,23.566
612,2004,rodcat_utu,25.018
613,2004,rodcat_gua,28.715
614,2004,rodcat_irr,30.199
615,2004,rodcat_fsa,26.746
616,2005,baker_ecu,23.565
617,2005,brie_sel,22.556
618,2005,brie_elt,22.771
619,2005,jenkins,23.038
620,2005,ortega_jam,23.566
621,2005,rodcat_utu,25.018
622,2005,rodcat_gua,28.715
623,2005,rodcat_irr,30.199
624,2005,rodcat_fsa,26.746
625,2006,baker_ecu,23.565
626,2006,brie_sel,22.556
627,2006,brie_elt,22.771
628,2006,jenkins,23.038
629,2006,ortega_jam,23.566
630,2006,rodcat_utu,25.018
631,2006,rodcat_gua,28.715
632,2006,rodcat_irr,30.199
633,2006,rodcat_fsa,26.746
634,2007,baker_ecu,23.565
635,2007,brie_sel,22.556
636,2007,brie_elt,22.771
637,2007,ortega_jam,23.566
638,2007,rodcat_utu,25.018
639,2007,rodcat_gua,28.715
640,2007,rodcat_irr,30.199
641,2007,rodcat_fsa,26.746
642,2008,baker_ecu,23.565
643,2008,brie_sel,22.556
644,2008,brie_elt,22.771
645,2008,ortega_jam,23.566
646,2008,rodcat_gua,28.715
647,2009,baker_ecu,23.565
648,2009,brie_sel,22.556
649,2009,brie_elt,22.771
650,2009,ortega_jam,23.566
651,2009,rodcat_gua,28.715
652,2010,baker_ecu,23.565
653,2010,brie_sel,22.556
654,2010,brie_elt,22.771
655,2010,ortega_jam,23.566
656,2010,rodcat_gua,28.715
